GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,MIN_PER_GAME
Lineups,-1627777-1628378-1628386-1629622-1629660-,G. Niang - D. Mitchell - J. Allen - M. Strus - T. Jerome,1610612739,CLE,3,1,2,0.333,9.0,160.3,168.4,52.9,47.4,107.4,121.0,0.8,4.0,22.9,0.667,0.818,0.739,0.105,0.571,0.641,98.7,101.52,84.6,19,1.042,1386,1965,8517,5613,1620,983,1685,588,2730,324,2489,741,3436,1306,5380,3902,3466,6677,1030,3.0
Lineups,-1627777-1628378-1630241-1630596-1641854-,G. Niang - D. Mitchell - S. Merrill - E. Mobley - C. Porter Jr.,1610612739,CLE,2,0,2,0.0,9.0,176.2,162.5,111.8,111.8,64.4,50.7,0.667,0.0,26.1,0.2,0.7,0.533,0.0,0.786,0.825,87.6,91.03,75.86,16,0.656,2233,6174,8517,6174,1680,1177,6018,1878,3752,5085,1533,5124,4849,3728,1,1570,1538,9225,3113,4.5
Lineups,-1627777-1628378-1629660-1629731-1630596-,G. Niang - D. Mitchell - T. Jerome - D. Wade - E. Mobley,1610612739,CLE,4,4,0,1.0,9.0,67.1,63.2,105.3,95.2,-38.1,-32.0,0.6,0.75,13.0,0.1,0.875,0.444,0.211,0.429,0.403,97.8,106.08,88.4,19,0.317,917,353,1,1,1606,7938,4060,7260,4722,4288,6026,5975,3034,6190,8069,6347,7323,5226,6976,2.25
Lineups,-1627777-1628378-1629660-1630171-1630596-,G. Niang - D. Mitchell - T. Jerome - I. Okoro - E. Mobley,1610612739,CLE,4,4,0,1.0,9.0,133.3,119.0,84.7,81.0,48.6,38.0,0.556,5.0,17.9,0.222,0.75,0.524,0.048,0.583,0.633,101.1,109.37,91.14,21,0.783,917,353,1,1,1571,3540,3286,2462,5145,158,4298,4991,4017,3877,4399,3715,3568,4296,2177,2.25
Lineups,-1629216-1631108-1631132-1641721-1642422-,G. Vincent - M. Christie - C. Koloko - M. Lewis - A. Traore,1610612747,LAL,2,0,2,0.0,9.0,85.5,89.5,137.0,126.3,-51.5,-36.8,0.429,0.75,13.0,0.111,0.75,0.308,0.211,0.567,0.535,100.7,102.28,85.23,19,0.203,2233,6174,8517,6174,1634,6380,7247,7544,6514,4288,6026,5927,4017,8255,8069,4029,5268,6439,7741,4.5
Lineups,-1627824-1630288-1641737-1641741-1642348-,G. Yabusele - J. Dowtin Jr. - A. Bona - R. Council IV - J. Edwards,1610612755,PHI,1,0,1,0.0,9.0,96.2,100.0,116.4,121.1,-20.2,-21.099999999999994,0.25,1.0,8.7,0.2,0.857,0.471,0.105,0.5,0.506,103.3,99.31,82.76,19,0.358,4127,6174,3490,6174,1578,4691,6815,6687,7162,2977,7002,5124,3117,5809,5380,4656,5827,7338,6541,9.0
Lineups,-1627824-1630178-1630231-1641741-1642272-,G. Yabusele - T. Maxey - K. Martin - R. Council IV - J. McCain,1610612755,PHI,3,0,3,0.0,9.0,138.1,133.3,96.4,94.4,41.7,38.900000000000006,0.857,0.0,17.6,0.438,0.714,0.522,0.0,0.452,0.533,97.1,99.84,83.2,21,0.667,1386,6174,9709,6174,1538,2314,4035,2442,2544,5085,4336,2431,4662,3901,1,6131,5302,7208,2913,3.0
Lineups,-203084-1629640-1630170-1630200-1631110-,H. Barnes - K. Johnson - D. Vassell - T. Jones - J. Sochan,1610612759,SAS,2,1,1,0.5,9.0,91.4,95.2,161.9,139.1,-70.5,-43.89999999999999,0.5,0.57,12.9,0.5,0.7,0.591,0.333,0.5,0.503,105.9,111.94,93.29,21,0.223,2233,1965,3490,4350,1526,6066,8046,7781,5281,4528,6054,1236,4849,2918,9202,4656,5891,3728,7624,4.5
Lineups,-1628392-1629026-1630598-1631114-1642349-,I. Hartenstein - K. Williams - A. Wiggins - J. Williams - A. Mitchell,1610612760,OKC,3,3,0,1.0,9.0,79.4,83.3,55.6,52.6,23.9,30.699999999999996,0.5,0.75,13.6,0.111,0.917,0.571,0.222,0.433,0.472,101.3,101.68,84.73,18,0.773,1386,561,1,1,1671,6684,1962,2827,5281,4288,5913,5927,2933,3043,8169,6322,6678,6617,2236,3.0
Lineups,-1630191-1630595-1631111-1631323-1641842-,I. Stewart - C. Cunningham - W. Moore Jr. - S. Fontecchio - R. Holland II,1610612765,DET,3,1,2,0.333,9.0,111.2,111.8,148.3,140.0,-37.1,-28.200000000000003,0.833,1.67,20.0,0.375,0.857,0.6,0.176,0.5,0.556,98.4,101.2,84.33,17,0.385,1386,1965,8517,5613,1664,4117,8050,7080,2609,2277,3144,2913,3117,2493,7297,4656,4989,6781,6275,3.0
